playerID,yearID,teamID,G,AB,H,BB,HR,BA,OBP,SLG,OPS,salary,Salary_per_OBP,Salary_per_OPS,OBP_Value_Score,OPS_Value_Score
abbotku01,1994,FLO,101,345,86,16,9,0.2492753623188406,0.2907608695652174,0.39420289855072466,0.6849637681159421,109000,374878.50467289716,159132.50462840518,12.228427704879653,15.501188493351497
abbotku01,1995,FLO,120,420,107,36,17,0.25476190476190474,0.31759656652360513,0.4523809523809524,0.7699775189045575,119000,374689.18918918923,154549.9668214997,17.13900449051137,21.88772459084132
abbotku01,1996,FLO,109,320,81,22,8,0.253125,0.3072463768115942,0.428125,0.7353713768115941,250000,813679.2452830188,339964.2791156002,11.720460488491186,14.82276995408565
abbotku01,1999,COL,96,286,78,16,8,0.2727272727272727,0.3102310231023102,0.43006993006993005,0.7403009531722402,900000,2901063.8297872343,1215721.790095553,5.737145622731664,7.132091071470372
abernbr01,2002,TBA,117,463,112,25,2,0.24190064794816415,0.28830645161290325,0.31101511879049676,0.5993215704034001,215000,745734.2657342657,358738.9652190971,9.459519225129101,6.89928705483994
abreubo01,1998,PHI,151,497,155,84,17,0.3118712273641851,0.40854700854700854,0.4969818913480885,0.905528899895097,180000,440585.77405857743,198778.85732951484,30.553798956088375,28.719534361961564
abreubo01,1999,PHI,152,546,183,109,20,0.33516483516483514,0.44561933534743203,0.5494505494505495,0.9950698847979815,400000,897627.1186440678,401981.8166652765,25.749683547212634,24.425328416223717
abreubo01,2000,PHI,154,576,182,100,25,0.3159722222222222,0.4161764705882353,0.5538194444444444,0.9699959150326798,2933333,7048291.307420494,3024067.3744498957,4.977747541056154,5.190709453006201
abreubo01,2001,PHI,162,588,170,106,31,0.2891156462585034,0.3934659090909091,0.5425170068027211,0.9359829158936301,4983000,12664375.451263538,5323815.120324583,2.686737687695229,2.96060986302189
abreubo01,2002,PHI,157,572,176,104,20,0.3076923076923077,0.4131386861313869,0.5209790209790209,0.9341177071104079,6333333,15329798.957597172,6780015.999901641,2.3982919295205654,2.350686186489821
abreubo01,2003,PHI,158,577,173,109,20,0.29982668977469673,0.40863309352517985,0.4679376083188908,0.8765707018440707,9100000,22269366.1971831,10381364.538942529,1.653224026470517,1.4440495166280676
abreubo01,2004,PHI,159,574,173,127,30,0.30139372822299654,0.4277699859747546,0.5435540069686411,0.9713239929433957,10600000,24779672.13114754,10912939.53099923,1.5781712943002226,1.5540925655307256
abreubo01,2005,PHI,162,588,168,117,24,0.2857142857142857,0.4047287899860918,0.4744897959183674,0.8792185859044592,13100000,32367353.951890033,14899594.03727109,1.135616519828864,1.0209627273637454
abreubo01,2006,PHI,98,339,94,91,8,0.27728613569321536,0.4269406392694064,0.4336283185840708,0.8605689578534772,13600000,31854545.454545453,15803498.22740826,1.2331294404036983,0.9367166727685654
abreubo01,2007,NYA,158,605,171,84,16,0.28264462809917357,0.36909871244635195,0.4446280991735537,0.8137268116199057,15000000,40639534.88372093,18433705.004925594,0.7933181381230155,0.7425338788829645
abreubo01,2008,NYA,156,609,180,73,20,0.2955665024630542,0.3713450292397661,0.47126436781609193,0.842609397055858,16000000,43086614.173228346,18988632.284312554,0.7566664275835014,0.7599468233986263
abreubo01,2009,LAA,152,563,165,94,15,0.29307282415630553,0.38980509745127434,0.4351687388987567,0.824973836350031,5000000,12826923.076923078,6060798.269823593,2.6186078262973003,2.2106790718402753
abreubo01,2010,LAA,154,573,146,87,20,0.2547993019197208,0.3523238380809595,0.43455497382198954,0.7868788119029491,9000000,25544680.85106383,11437593.519940944,1.14757625397194,1.1177378849591235
adamsru01,2005,TOR,139,481,123,50,8,0.25571725571725573,0.3247232472324723,0.38253638253638256,0.7072596297688549,316000,973136.3636363636,446794.90628254076,12.86907625664273,11.761185119544535
agbaybe01,1999,NYN,101,276,79,32,14,0.286231884057971,0.3630573248407643,0.5253623188405797,0.8884196436813441,200000,550877.1929824562,225118.84042912434,21.957869940600187,26.48804246255874
agbaybe01,2000,NYN,119,350,101,54,15,0.2885714285714286,0.391304347826087,0.47714285714285715,0.8684472049689441,220000,562222.2222222222,253325.70447718495,25.61307535408886,24.2337551081867
agbaybe01,2001,NYN,91,296,82,36,6,0.27702702702702703,0.363905325443787,0.39864864864864863,0.7625539740924356,260000,714471.5447154471,340959.4715042206,19.849504806469593,16.20958085312155
alfoned01,1995,NYN,101,335,93,12,4,0.27761194029850744,0.30113636363636365,0.382089552238806,0.6832259158751697,109000,361962.2641509434,159537.27378795022,14.277949964297033,15.360442828035406
alfoned01,1996,NYN,123,368,96,25,4,0.2608695652173913,0.30402010050251255,0.3451086956521739,0.6491287961546864,180000,592066.1157024794,277294.7388350127,12.780571414140514,10.84500066932755
alfoned01,1997,NYN,151,518,163,63,10,0.31467181467181465,0.39086294416243655,0.43243243243243246,0.823295376594869,215000,550064.935064935,261145.64239293453,25.77782363192512,21.510538968207822
alfoned01,1998,NYN,144,557,155,65,17,0.27827648114901254,0.35509554140127386,0.4272890484739677,0.7823845898752415,1750000,4928251.121076234,2236751.621448799,5.263097370721208,4.936878628404035
alfoned01,1999,NYN,158,628,191,85,27,0.304140127388535,0.38482758620689655,0.5015923566878981,0.8864199428947948,2800000,7275985.663082438,3158773.6968732886,4.321259031509547,4.462480968939117
alfoned01,2000,NYN,150,544,176,95,25,0.3235294117647059,0.4246153846153846,0.5422794117647058,0.9668947963800905,4225000,9950181.15942029,4369658.432145636,3.7268610494586163,3.694567887511252
